episode_reward,nb_episode_steps,nb_steps
-500.0,500,500
-500.0,500,1000
-500.0,500,1500
-500.0,500,2000
-500.0,500,2500
-500.0,500,3000
-500.0,500,3500
-500.0,500,4000
-500.0,500,4500
-500.0,500,5000
-344.0,345,5345
-500.0,500,5845
-500.0,500,6345
-500.0,500,6845
-500.0,500,7345
-500.0,500,7845
-500.0,500,8345
-500.0,500,8845
-500.0,500,9345
-500.0,500,9845
-500.0,500,10345
-500.0,500,10845
-500.0,500,11345
-500.0,500,11845
-500.0,500,12345
-500.0,500,12845
-500.0,500,13345
-500.0,500,13845
-500.0,500,14345
-500.0,500,14845
-500.0,500,15345
-500.0,500,15845
-500.0,500,16345
-500.0,500,16845
-500.0,500,17345
-367.0,368,17713
-500.0,500,18213
-500.0,500,18713
-490.0,491,19204
-397.0,398,19602
-466.0,467,20069
-346.0,347,20416
-500.0,500,20916
-252.0,253,21169
-432.0,433,21602
-500.0,500,22102
-306.0,307,22409
-479.0,480,22889
-285.0,286,23175
-321.0,322,23497
-261.0,262,23759
-194.0,195,23954
-500.0,500,24454
-241.0,242,24696
-266.0,267,24963
-370.0,371,25334
-286.0,287,25621
-167.0,168,25789
-338.0,339,26128
-342.0,343,26471
-235.0,236,26707
-172.0,173,26880
-251.0,252,27132
-276.0,277,27409
-327.0,328,27737
-241.0,242,27979
-237.0,238,28217
-500.0,500,28717
-182.0,183,28900
-181.0,182,29082
-317.0,318,29400
-220.0,221,29621
-267.0,268,29889
-427.0,428,30317
-284.0,285,30602
-193.0,194,30796
-224.0,225,31021
-279.0,280,31301
-316.0,317,31618
-252.0,253,31871
-247.0,248,32119
-296.0,297,32416
-423.0,424,32840
-311.0,312,33152
-186.0,187,33339
-344.0,345,33684
-250.0,251,33935
-306.0,307,34242
-347.0,348,34590
-413.0,414,35004
-320.0,321,35325
-204.0,205,35530
-317.0,318,35848
-172.0,173,36021
-143.0,144,36165
-195.0,196,36361
-500.0,500,36861
-254.0,255,37116
-189.0,190,37306
-258.0,259,37565
-266.0,267,37832
-234.0,235,38067
-396.0,397,38464
-169.0,170,38634
-207.0,208,38842
-257.0,258,39100
-437.0,438,39538
-260.0,261,39799
-231.0,232,40031
-146.0,147,40178
-274.0,275,40453
-297.0,298,40751
-197.0,198,40949
-487.0,488,41437
-144.0,145,41582
-159.0,160,41742
-229.0,230,41972
-159.0,160,42132
-157.0,158,42290
-216.0,217,42507
-195.0,196,42703
-266.0,267,42970
-189.0,190,43160
-272.0,273,43433
-191.0,192,43625
-237.0,238,43863
-170.0,171,44034
-189.0,190,44224
-208.0,209,44433
-169.0,170,44603
-244.0,245,44848
-158.0,159,45007
-270.0,271,45278
-132.0,133,45411
-244.0,245,45656
-197.0,198,45854
-189.0,190,46044
-174.0,175,46219
-238.0,239,46458
-201.0,202,46660
-180.0,181,46841
-215.0,216,47057
-183.0,184,47241
-286.0,287,47528
-168.0,169,47697
-202.0,203,47900
-164.0,165,48065
-142.0,143,48208
-241.0,242,48450
-163.0,164,48614
-172.0,173,48787
-127.0,128,48915
-173.0,174,49089
-123.0,124,49213
-162.0,163,49376
-149.0,150,49526
-177.0,178,49704
-172.0,173,49877
-111.0,112,49989
-218.0,219,50208
-142.0,143,50351
-157.0,158,50509
-156.0,157,50666
-139.0,140,50806
-187.0,188,50994
-198.0,199,51193
-118.0,119,51312
-186.0,187,51499
-151.0,152,51651
-130.0,131,51782
-162.0,163,51945
-104.0,105,52050
-324.0,325,52375
-120.0,121,52496
-220.0,221,52717
-136.0,137,52854
-146.0,147,53001
-145.0,146,53147
-164.0,165,53312
-169.0,170,53482
-138.0,139,53621
-162.0,163,53784
-175.0,176,53960
-155.0,156,54116
-150.0,151,54267
-135.0,136,54403
-133.0,134,54537
-222.0,223,54760
-212.0,213,54973
-144.0,145,55118
-174.0,175,55293
-163.0,164,55457
-232.0,233,55690
-156.0,157,55847
-154.0,155,56002
-141.0,142,56144
-168.0,169,56313
-128.0,129,56442
-124.0,125,56567
-161.0,162,56729
-285.0,286,57015
-188.0,189,57204
-277.0,278,57482
-158.0,159,57641
-171.0,172,57813
-155.0,156,57969
-129.0,130,58099
-159.0,160,58259
-151.0,152,58411
-190.0,191,58602
-168.0,169,58771
-183.0,184,58955
-124.0,125,59080
-149.0,150,59230
-152.0,153,59383
-160.0,161,59544
-176.0,177,59721
-102.0,103,59824
-116.0,117,59941
-163.0,164,60105
-176.0,177,60282
-150.0,151,60433
-167.0,168,60601
-209.0,210,60811
-132.0,133,60944
-167.0,168,61112
-145.0,146,61258
-122.0,123,61381
-121.0,122,61503
-188.0,189,61692
-137.0,138,61830
-144.0,145,61975
-144.0,145,62120
-192.0,193,62313
-120.0,121,62434
-123.0,124,62558
-160.0,161,62719
-146.0,147,62866
-166.0,167,63033
-120.0,121,63154
-87.0,88,63242
-131.0,132,63374
-138.0,139,63513
-133.0,134,63647
-130.0,131,63778
-139.0,140,63918
-184.0,185,64103
-166.0,167,64270
-116.0,117,64387
-147.0,148,64535
-106.0,107,64642
-150.0,151,64793
-149.0,150,64943
-181.0,182,65125
-120.0,121,65246
-96.0,97,65343
-102.0,103,65446
-111.0,112,65558
-486.0,487,66045
-174.0,175,66220
-131.0,132,66352
-169.0,170,66522
-176.0,177,66699
-120.0,121,66820
-110.0,111,66931
-135.0,136,67067
-179.0,180,67247
-132.0,133,67380
-98.0,99,67479
-129.0,130,67609
-129.0,130,67739
-145.0,146,67885
-110.0,111,67996
-130.0,131,68127
-129.0,130,68257
-111.0,112,68369
-180.0,181,68550
-103.0,104,68654
-176.0,177,68831
-98.0,99,68930
-113.0,114,69044
-107.0,108,69152
-185.0,186,69338
-115.0,116,69454
-133.0,134,69588
-126.0,127,69715
-104.0,105,69820
-198.0,199,70019
-184.0,185,70204
-105.0,106,70310
-123.0,124,70434
-113.0,114,70548
-98.0,99,70647
-113.0,114,70761
-91.0,92,70853
-105.0,106,70959
-102.0,103,71062
-121.0,122,71184
-122.0,123,71307
-120.0,121,71428
-149.0,150,71578
-171.0,172,71750
-123.0,124,71874
-99.0,100,71974
-149.0,150,72124
-137.0,138,72262
-112.0,113,72375
-117.0,118,72493
-103.0,104,72597
-114.0,115,72712
-196.0,197,72909
-119.0,120,73029
-123.0,124,73153
-102.0,103,73256
-146.0,147,73403
-92.0,93,73496
-116.0,117,73613
-129.0,130,73743
-147.0,148,73891
-94.0,95,73986
-97.0,98,74084
-102.0,103,74187
-93.0,94,74281
-128.0,129,74410
-118.0,119,74529
-129.0,130,74659
-123.0,124,74783
-139.0,140,74923
