episode_reward,nb_episode_steps,nb_steps
-500.0,500,500
-500.0,500,1000
-500.0,500,1500
-500.0,500,2000
-500.0,500,2500
-500.0,500,3000
-500.0,500,3500
-500.0,500,4000
-500.0,500,4500
-500.0,500,5000
-500.0,500,5500
-500.0,500,6000
-500.0,500,6500
-500.0,500,7000
-500.0,500,7500
-500.0,500,8000
-500.0,500,8500
-500.0,500,9000
-500.0,500,9500
-500.0,500,10000
-500.0,500,10500
-500.0,500,11000
-500.0,500,11500
-500.0,500,12000
-500.0,500,12500
-500.0,500,13000
-500.0,500,13500
-500.0,500,14000
-500.0,500,14500
-500.0,500,15000
-500.0,500,15500
-500.0,500,16000
-452.0,453,16453
-500.0,500,16953
-366.0,367,17320
-413.0,414,17734
-500.0,500,18234
-419.0,420,18654
-500.0,500,19154
-460.0,461,19615
-500.0,500,20115
-470.0,471,20586
-500.0,500,21086
-500.0,500,21586
-500.0,500,22086
-265.0,266,22352
-486.0,487,22839
-360.0,361,23200
-287.0,288,23488
-371.0,372,23860
-280.0,281,24141
-399.0,400,24541
-500.0,500,25041
-322.0,323,25364
-274.0,275,25639
-458.0,459,26098
-414.0,415,26513
-500.0,500,27013
-220.0,221,27234
-179.0,180,27414
-192.0,193,27607
-369.0,370,27977
-295.0,296,28273
-268.0,269,28542
-232.0,233,28775
-262.0,263,29038
-209.0,210,29248
-204.0,205,29453
-164.0,165,29618
-232.0,233,29851
-325.0,326,30177
-318.0,319,30496
-481.0,482,30978
-373.0,374,31352
-265.0,266,31618
-355.0,356,31974
-203.0,204,32178
-240.0,241,32419
-326.0,327,32746
-191.0,192,32938
-260.0,261,33199
-290.0,291,33490
-282.0,283,33773
-210.0,211,33984
-236.0,237,34221
-272.0,273,34494
-171.0,172,34666
-284.0,285,34951
-375.0,376,35327
-256.0,257,35584
-286.0,287,35871
-186.0,187,36058
-280.0,281,36339
-205.0,206,36545
-216.0,217,36762
-165.0,166,36928
-221.0,222,37150
-182.0,183,37333
-191.0,192,37525
-226.0,227,37752
-203.0,204,37956
-191.0,192,38148
-196.0,197,38345
-212.0,213,38558
-171.0,172,38730
-399.0,400,39130
-237.0,238,39368
-197.0,198,39566
-130.0,131,39697
-202.0,203,39900
-201.0,202,40102
-182.0,183,40285
-155.0,156,40441
-151.0,152,40593
-192.0,193,40786
-195.0,196,40982
-148.0,149,41131
-173.0,174,41305
-281.0,282,41587
-165.0,166,41753
-206.0,207,41960
-159.0,160,42120
-194.0,195,42315
-284.0,285,42600
-237.0,238,42838
-204.0,205,43043
-149.0,150,43193
-209.0,210,43403
-128.0,129,43532
-203.0,204,43736
-196.0,197,43933
-175.0,176,44109
-261.0,262,44371
-113.0,114,44485
-263.0,264,44749
-211.0,212,44961
-168.0,169,45130
-404.0,405,45535
-184.0,185,45720
-130.0,131,45851
-210.0,211,46062
-213.0,214,46276
-201.0,202,46478
-193.0,194,46672
-203.0,204,46876
-166.0,167,47043
-254.0,255,47298
-219.0,220,47518
-216.0,217,47735
-161.0,162,47897
-124.0,125,48022
-147.0,148,48170
-143.0,144,48314
-138.0,139,48453
-244.0,245,48698
-224.0,225,48923
-177.0,178,49101
-180.0,181,49282
-229.0,230,49512
-206.0,207,49719
-152.0,153,49872
-223.0,224,50096
-222.0,223,50319
-145.0,146,50465
-193.0,194,50659
-159.0,160,50819
-213.0,214,51033
-220.0,221,51254
-220.0,221,51475
-193.0,194,51669
-190.0,191,51860
-191.0,192,52052
-164.0,165,52217
-178.0,179,52396
-110.0,111,52507
-165.0,166,52673
-199.0,200,52873
-228.0,229,53102
-213.0,214,53316
-204.0,205,53521
-258.0,259,53780
-170.0,171,53951
-173.0,174,54125
-145.0,146,54271
-147.0,148,54419
-109.0,110,54529
-122.0,123,54652
-156.0,157,54809
-127.0,128,54937
-159.0,160,55097
-142.0,143,55240
-135.0,136,55376
-197.0,198,55574
-136.0,137,55711
-167.0,168,55879
-257.0,258,56137
-189.0,190,56327
-102.0,103,56430
-120.0,121,56551
-159.0,160,56711
-147.0,148,56859
-119.0,120,56979
-163.0,164,57143
-249.0,250,57393
-208.0,209,57602
-210.0,211,57813
-148.0,149,57962
-92.0,93,58055
-173.0,174,58229
-152.0,153,58382
-164.0,165,58547
-179.0,180,58727
-160.0,161,58888
-193.0,194,59082
-152.0,153,59235
-270.0,271,59506
-180.0,181,59687
-136.0,137,59824
-203.0,204,60028
-112.0,113,60141
-168.0,169,60310
-157.0,158,60468
-159.0,160,60628
-111.0,112,60740
-134.0,135,60875
-177.0,178,61053
-112.0,113,61166
-127.0,128,61294
-134.0,135,61429
-167.0,168,61597
-155.0,156,61753
-160.0,161,61914
-122.0,123,62037
-188.0,189,62226
-180.0,181,62407
-141.0,142,62549
-174.0,175,62724
-179.0,180,62904
-118.0,119,63023
-140.0,141,63164
-276.0,277,63441
-179.0,180,63621
-197.0,198,63819
-135.0,136,63955
-120.0,121,64076
-132.0,133,64209
-180.0,181,64390
-163.0,164,64554
-164.0,165,64719
-140.0,141,64860
-195.0,196,65056
-247.0,248,65304
-171.0,172,65476
-187.0,188,65664
-186.0,187,65851
-149.0,150,66001
-151.0,152,66153
-128.0,129,66282
-139.0,140,66422
-152.0,153,66575
-153.0,154,66729
-127.0,128,66857
-125.0,126,66983
-133.0,134,67117
-142.0,143,67260
-138.0,139,67399
-152.0,153,67552
-165.0,166,67718
-141.0,142,67860
-113.0,114,67974
-110.0,111,68085
-160.0,161,68246
-297.0,298,68544
-103.0,104,68648
-115.0,116,68764
-133.0,134,68898
-147.0,148,69046
-139.0,140,69186
-124.0,125,69311
-239.0,240,69551
-123.0,124,69675
-115.0,116,69791
-161.0,162,69953
-122.0,123,70076
-120.0,121,70197
-122.0,123,70320
-148.0,149,70469
-115.0,116,70585
-138.0,139,70724
-134.0,135,70859
-110.0,111,70970
-106.0,107,71077
-132.0,133,71210
-113.0,114,71324
-131.0,132,71456
-149.0,150,71606
-143.0,144,71750
-151.0,152,71902
-164.0,165,72067
-102.0,103,72170
-123.0,124,72294
-172.0,173,72467
-181.0,182,72649
-84.0,85,72734
-148.0,149,72883
-91.0,92,72975
-120.0,121,73096
-90.0,91,73187
-105.0,106,73293
-88.0,89,73382
-118.0,119,73501
-114.0,115,73616
-210.0,211,73827
-113.0,114,73941
-121.0,122,74063
-102.0,103,74166
-99.0,100,74266
-106.0,107,74373
-123.0,124,74497
-91.0,92,74589
-150.0,151,74740
-122.0,123,74863
-102.0,103,74966
-118.0,119,75085
-105.0,106,75191
-106.0,107,75298
-126.0,127,75425
-93.0,94,75519
