number,value,datetime_start,datetime_complete,duration,params_batch_size,params_filters_layer1,params_filters_layer2,params_filters_layer3,params_gamma,params_learning_rate,params_max_eps,params_min_eps,params_steps_exploration,params_target_model_update,state,filters_combined
0,-500.0,2024-12-08 12:52:56.628188,2024-12-08 12:55:36.862269,0 days 00:02:40.234081,128,64,32,16,0.9828421831260529,0.00047047780850891505,0.8953474257403122,0.053525141483818914,48777,1672,COMPLETE,32768
1,-500.0,2024-12-08 12:55:36.874346,2024-12-08 12:58:18.317787,0 days 00:02:41.443441,32,64,32,32,0.9478902293325914,0.0003087087635499295,0.8870589970192228,0.08395387667291615,45973,1576,COMPLETE,65536
2,-298.4,2024-12-08 12:58:18.317787,2024-12-08 13:01:20.116265,0 days 00:03:01.798478,128,64,16,64,0.9130468708894063,0.000558185998811439,0.8524983575597145,0.06621183743264565,49821,943,COMPLETE,65536
3,-269.0,2024-12-08 13:01:20.116265,2024-12-08 13:04:20.306680,0 days 00:03:00.190415,128,16,16,64,0.9443978292639663,0.003017659781368791,0.8373032695764675,0.02197313219643307,41891,931,COMPLETE,16384
4,-369.0,2024-12-08 13:04:20.306680,2024-12-08 13:07:13.407495,0 days 00:02:53.100815,32,16,16,32,0.9655778666333483,0.0005448648632669379,0.8198046011827236,0.09244667453628123,23267,558,COMPLETE,8192
5,-500.0,2024-12-08 13:07:13.423093,2024-12-08 13:10:25.787609,0 days 00:03:12.364516,128,16,16,32,0.9557886179918124,0.006105817538226144,0.8083428853207755,0.05893430441294606,13516,756,COMPLETE,8192
6,-299.4,2024-12-08 13:10:25.787609,2024-12-08 13:13:20.971731,0 days 00:02:55.184122,64,16,64,32,0.9174255568557851,0.00035420177970550335,0.9250165159776151,0.027575246580829847,16870,1796,COMPLETE,32768
7,-500.0,2024-12-08 13:13:20.971731,2024-12-08 13:16:22.623080,0 days 00:03:01.651349,32,16,64,16,0.914827359524955,0.0004092944671925786,0.903506056185466,0.09806893809314277,38972,1062,COMPLETE,16384
8,-113.8,2024-12-08 13:16:22.627145,2024-12-08 13:19:09.292215,0 days 00:02:46.665070,32,16,64,64,0.9840830067903283,0.002117865959310162,0.8632742297311811,0.09085164050085044,15185,1967,COMPLETE,65536
9,-500.0,2024-12-08 13:19:09.292215,2024-12-08 13:22:20.625254,0 days 00:03:11.333039,32,16,64,32,0.9668738836333475,0.00025527893633112863,0.9311936578120952,0.05206892026430706,16466,1218,COMPLETE,32768
10,-500.0,2024-12-08 13:22:20.625254,2024-12-08 13:25:31.658857,0 days 00:03:11.033603,64,32,64,64,0.9898791611787051,0.00010022553772868495,0.9781825354210874,0.07314400395306,29943,1988,COMPLETE,131072
11,-500.0,2024-12-08 13:25:31.663858,2024-12-08 13:28:40.409895,0 days 00:03:08.746037,128,16,16,64,0.9326997987328072,0.0027546294561766123,0.8436830348647044,0.015548065207946306,37468,1377,COMPLETE,16384
